State,Year,Education Level of Mother,Number of Births,Average Age of Mother (years)
Minnesota,2018,"Some college credit, but not a degree",12272,28.6
Minnesota,2018,Unknown or Not Stated,389,31.0
Minnesota,2019,8th grade or less,2334,31.2
Minnesota,2019,9th through 12th grade with no diploma,4505,25.6
Minnesota,2019,"Associate degree (AA, AS)",8012,30.4
Minnesota,2019,"Bachelor's degree (BA, AB, BS)",18386,31.4
Minnesota,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2336,33.4
Minnesota,2019,High school graduate or GED completed,11152,27.4
Minnesota,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7382,32.8
Minnesota,2019,"Some college credit, but not a degree",11599,28.8
Minnesota,2019,Unknown or Not Stated,321,30.6
Minnesota,2020,8th grade or less,2186,31.2
Minnesota,2020,9th through 12th grade with no diploma,4171,26.0
Minnesota,2020,"Associate degree (AA, AS)",7476,30.4
Minnesota,2020,"Bachelor's degree (BA, AB, BS)",17904,31.4
Minnesota,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2403,33.6
Minnesota,2020,High school graduate or GED completed,10793,27.6
Minnesota,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7040,32.8
Minnesota,2020,"Some college credit, but not a degree",11166,29.0
Minnesota,2020,Unknown or Not Stated,304,30.6
Minnesota,2021,8th grade or less,1995,31.2
Minnesota,2021,9th through 12th grade with no diploma,4025,26.0
Minnesota,2021,"Associate degree (AA, AS)",7625,30.6
Minnesota,2021,"Bachelor's degree (BA, AB, BS)",19036,31.5
Minnesota,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2464,33.6
Minnesota,2021,High school graduate or GED completed,10620,27.6
Minnesota,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7634,32.9
Minnesota,2021,"Some college credit, but not a degree",10696,29.1
Minnesota,2021,Unknown or Not Stated,330,31.0
Mississippi,2016,8th grade or less,858,26.2
Mississippi,2016,9th through 12th grade with no diploma,4455,23.2
Mississippi,2016,"Associate degree (AA, AS)",4644,28.2
Mississippi,2016,"Bachelor's degree (BA, AB, BS)",5174,30.0
Mississippi,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",576,32.7
Mississippi,2016,High school graduate or GED completed,10724,25.0
Mississippi,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2146,31.7
Mississippi,2016,"Some college credit, but not a degree",9280,26.0
Mississippi,2016,Unknown or Not Stated,71,27.4
Mississippi,2017,8th grade or less,792,26.6
Mississippi,2017,9th through 12th grade with no diploma,4209,23.6
Mississippi,2017,"Associate degree (AA, AS)",4792,28.0
Mississippi,2017,"Bachelor's degree (BA, AB, BS)",5092,30.0
Mississippi,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",631,32.8
Mississippi,2017,High school graduate or GED completed,10687,25.1
Mississippi,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2079,31.6
Mississippi,2017,"Some college credit, but not a degree",9007,26.2
Mississippi,2017,Unknown or Not Stated,68,26.8
Mississippi,2018,8th grade or less,770,26.8
Mississippi,2018,9th through 12th grade with no diploma,3901,23.8
Mississippi,2018,"Associate degree (AA, AS)",4741,28.2
Mississippi,2018,"Bachelor's degree (BA, AB, BS)",5080,30.0
Mississippi,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",580,33.0
Mississippi,2018,High school graduate or GED completed,10859,25.2
Mississippi,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2177,31.9
Mississippi,2018,"Some college credit, but not a degree",8795,26.4
Mississippi,2018,Unknown or Not Stated,97,26.1
Mississippi,2019,8th grade or less,745,27.0
Mississippi,2019,9th through 12th grade with no diploma,3820,23.8
Mississippi,2019,"Associate degree (AA, AS)",4876,28.0
Mississippi,2019,"Bachelor's degree (BA, AB, BS)",5020,30.0
Mississippi,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",628,32.7
Mississippi,2019,High school graduate or GED completed,10906,25.2
Mississippi,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2148,32.0
Mississippi,2019,"Some college credit, but not a degree",8393,26.6
Mississippi,2019,Unknown or Not Stated,100,27.8
Mississippi,2020,8th grade or less,747,26.8
Mississippi,2020,9th through 12th grade with no diploma,3468,23.8
Mississippi,2020,"Associate degree (AA, AS)",4687,28.0
Mississippi,2020,"Bachelor's degree (BA, AB, BS)",4872,29.9
Mississippi,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",570,32.9
Mississippi,2020,High school graduate or GED completed,10971,25.4
Mississippi,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2212,31.8
Mississippi,2020,"Some college credit, but not a degree",7869,26.6
Mississippi,2020,Unknown or Not Stated,77,26.6
Mississippi,2021,8th grade or less,729,27.0
Mississippi,2021,9th through 12th grade with no diploma,3344,24.0
Mississippi,2021,"Associate degree (AA, AS)",4790,28.2
Mississippi,2021,"Bachelor's degree (BA, AB, BS)",5080,29.9
Mississippi,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",604,33.0
Mississippi,2021,High school graduate or GED completed,10901,25.4
Mississippi,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2264,31.7
Mississippi,2021,"Some college credit, but not a degree",7347,26.9
Mississippi,2021,Unknown or Not Stated,97,28.6
Missouri,2016,8th grade or less,2078,28.7
Missouri,2016,9th through 12th grade with no diploma,7292,24.0
Missouri,2016,"Associate degree (AA, AS)",6611,29.0
Missouri,2016,"Bachelor's degree (BA, AB, BS)",14391,30.6
Missouri,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1783,33.0
Missouri,2016,High school graduate or GED completed,17983,25.4
Missouri,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6887,32.2
Missouri,2016,"Some college credit, but not a degree",17427,27.2
Missouri,2016,Unknown or Not Stated,253,28.5
Missouri,2017,8th grade or less,1961,28.6
Missouri,2017,9th through 12th grade with no diploma,6802,24.2
Missouri,2017,"Associate degree (AA, AS)",6489,29.4
Missouri,2017,"Bachelor's degree (BA, AB, BS)",14179,30.7
Missouri,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1701,33.1
Missouri,2017,High school graduate or GED completed,18136,25.5
Missouri,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6795,32.3
Missouri,2017,"Some college credit, but not a degree",16709,27.2
Missouri,2017,Unknown or Not Stated,262,28.4
Missouri,2018,8th grade or less,2011,28.8
Missouri,2018,9th through 12th grade with no diploma,6716,24.3
Missouri,2018,"Associate degree (AA, AS)",6494,29.3
Missouri,2018,"Bachelor's degree (BA, AB, BS)",14256,30.8
Missouri,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1722,33.2
Missouri,2018,High school graduate or GED completed,18489,25.6
Missouri,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6733,32.2
Missouri,2018,"Some college credit, but not a degree",16607,27.5
Missouri,2018,Unknown or Not Stated,241,27.5
Missouri,2019,8th grade or less,1986,28.6
Missouri,2019,9th through 12th grade with no diploma,6431,24.3
Missouri,2019,"Associate degree (AA, AS)",6429,29.4
Missouri,2019,"Bachelor's degree (BA, AB, BS)",14236,30.8
Missouri,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1837,33.1
Missouri,2019,High school graduate or GED completed,18247,25.8
Missouri,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6708,32.3
Missouri,2019,"Some college credit, but not a degree",16022,27.6
Missouri,2019,Unknown or Not Stated,231,28.6
Missouri,2020,8th grade or less,1947,28.7
Missouri,2020,9th through 12th grade with no diploma,6092,24.2
Missouri,2020,"Associate degree (AA, AS)",6071,29.4
Missouri,2020,"Bachelor's degree (BA, AB, BS)",13714,30.8
Missouri,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1767,33.2
Missouri,2020,High school graduate or GED completed,18065,26.0
Missouri,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6544,32.3
Missouri,2020,"Some college credit, but not a degree",14834,27.8
Missouri,2020,Unknown or Not Stated,251,29.2
Missouri,2021,8th grade or less,1971,28.7
Missouri,2021,9th through 12th grade with no diploma,5623,24.4
Missouri,2021,"Associate degree (AA, AS)",6090,29.6
Missouri,2021,"Bachelor's degree (BA, AB, BS)",14331,30.8
Missouri,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1935,33.2
Missouri,2021,High school graduate or GED completed,17951,26.0
Missouri,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6996,32.3
Missouri,2021,"Some college credit, but not a degree",14292,28.0
Missouri,2021,Unknown or Not Stated,264,29.6
Montana,2016,8th grade or less,209,27.2
Montana,2016,9th through 12th grade with no diploma,1157,23.6
Montana,2016,"Associate degree (AA, AS)",1109,29.5
Montana,2016,"Bachelor's degree (BA, AB, BS)",2565,31.2
Montana,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",246,33.6
Montana,2016,High school graduate or GED completed,3473,25.9
Montana,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",761,32.9
Montana,2016,"Some college credit, but not a degree",2715,27.8
Montana,2016,Unknown or Not Stated,47,29.3
Montana,2017,8th grade or less,215,27.1
Montana,2017,9th through 12th grade with no diploma,1041,23.8
Montana,2017,"Associate degree (AA, AS)",1041,29.6
Montana,2017,"Bachelor's degree (BA, AB, BS)",2514,31.2
Montana,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",313,33.7
Montana,2017,High school graduate or GED completed,3147,25.9
Montana,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",765,33.2
Montana,2017,"Some college credit, but not a degree",2715,28.0
Montana,2017,Unknown or Not Stated,48,28.0
Montana,2018,8th grade or less,216,27.5
Montana,2018,9th through 12th grade with no diploma,947,23.9
Montana,2018,"Associate degree (AA, AS)",1026,29.8
Montana,2018,"Bachelor's degree (BA, AB, BS)",2512,31.2
Montana,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",271,33.2
Montana,2018,High school graduate or GED completed,3138,26.2
Montana,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",767,33.0
Montana,2018,"Some college credit, but not a degree",2594,28.2
Montana,2018,Unknown or Not Stated,42,28.9
Montana,2019,8th grade or less,253,27.6
Montana,2019,9th through 12th grade with no diploma,897,24.2
Montana,2019,"Associate degree (AA, AS)",1016,29.9
Montana,2019,"Bachelor's degree (BA, AB, BS)",2361,31.2
Montana,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",286,33.6
Montana,2019,High school graduate or GED completed,2963,26.4
Montana,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",792,33.0
Montana,2019,"Some college credit, but not a degree",2489,28.2
Montana,2019,Unknown or Not Stated,13,30.9
Montana,2020,8th grade or less,223,28.3
Montana,2020,9th through 12th grade with no diploma,801,24.1
Montana,2020,"Associate degree (AA, AS)",996,30.0
Montana,2020,"Bachelor's degree (BA, AB, BS)",2506,31.3
Montana,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",312,34.2
Montana,2020,High school graduate or GED completed,2803,26.4
Montana,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",774,33.3
Montana,2020,"Some college credit, but not a degree",2362,28.6
Montana,2021,8th grade or less,220,27.4
Montana,2021,9th through 12th grade with no diploma,810,24.0
Montana,2021,"Associate degree (AA, AS)",1073,29.9
Montana,2021,"Bachelor's degree (BA, AB, BS)",2639,31.5
Montana,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",363,33.6
Montana,2021,High school graduate or GED completed,2932,26.5
Montana,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",909,33.1
Montana,2021,"Some college credit, but not a degree",2270,28.6
Nebraska,2016,8th grade or less,1139,29.7
Nebraska,2016,9th through 12th grade with no diploma,2048,24.8
Nebraska,2016,"Associate degree (AA, AS)",2752,29.6
Nebraska,2016,"Bachelor's degree (BA, AB, BS)",6504,30.6
Nebraska,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",789,32.8
Nebraska,2016,High school graduate or GED completed,4942,26.0
Nebraska,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2487,31.9
Nebraska,2016,"Some college credit, but not a degree",5913,27.4
Nebraska,2017,8th grade or less,1156,30.0
Nebraska,2017,9th through 12th grade with no diploma,2060,25.4
Nebraska,2017,"Associate degree (AA, AS)",2674,29.7
Nebraska,2017,"Bachelor's degree (BA, AB, BS)",6143,30.5
Nebraska,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",749,32.5
Nebraska,2017,High school graduate or GED completed,4942,26.0
Nebraska,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2424,32.0
Nebraska,2017,"Some college credit, but not a degree",5661,27.3
Nebraska,2018,8th grade or less,1038,29.9
Nebraska,2018,9th through 12th grade with no diploma,1965,25.5
Nebraska,2018,"Associate degree (AA, AS)",2674,29.8
Nebraska,2018,"Bachelor's degree (BA, AB, BS)",6317,30.6
Nebraska,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",799,33.0
Nebraska,2018,High school graduate or GED completed,4890,26.2
Nebraska,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2481,32.0
Nebraska,2018,"Some college credit, but not a degree",5294,27.5
Nebraska,2018,Unknown or Not Stated,30,31.6
Nebraska,2019,8th grade or less,1131,29.8
Nebraska,2019,9th through 12th grade with no diploma,1739,25.0
Nebraska,2019,"Associate degree (AA, AS)",2468,29.8
Nebraska,2019,"Bachelor's degree (BA, AB, BS)",6106,30.7
Nebraska,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",779,32.8
Nebraska,2019,High school graduate or GED completed,4873,26.2
Nebraska,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2459,32.2
Nebraska,2019,"Some college credit, but not a degree",5167,27.6
Nebraska,2019,Unknown or Not Stated,33,28.4
Nebraska,2020,8th grade or less,1098,29.8
Nebraska,2020,9th through 12th grade with no diploma,1734,25.5
Nebraska,2020,"Associate degree (AA, AS)",2406,30.1
Nebraska,2020,"Bachelor's degree (BA, AB, BS)",6120,30.6
Nebraska,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",805,32.9
Nebraska,2020,High school graduate or GED completed,4807,26.4
Nebraska,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2437,32.2
Nebraska,2020,"Some college credit, but not a degree",4852,27.8
Nebraska,2020,Unknown or Not Stated,32,29.9
Nebraska,2021,8th grade or less,1050,30.3
Nebraska,2021,9th through 12th grade with no diploma,1661,25.0
Nebraska,2021,"Associate degree (AA, AS)",2436,30.0
Nebraska,2021,"Bachelor's degree (BA, AB, BS)",6296,30.7
Nebraska,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",818,33.0
Nebraska,2021,High school graduate or GED completed,4842,26.5
Nebraska,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2595,32.0
Nebraska,2021,"Some college credit, but not a degree",4879,28.0
Nebraska,2021,Unknown or Not Stated,32,32.9
Nevada,2016,8th grade or less,883,30.6
Nevada,2016,9th through 12th grade with no diploma,5655,25.9
Nevada,2016,"Associate degree (AA, AS)",2654,30.1
Nevada,2016,"Bachelor's degree (BA, AB, BS)",5012,31.6
Nevada,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",485,34.2
Nevada,2016,High school graduate or GED completed,11039,26.8
Nevada,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1639,33.0
Nevada,2016,"Some college credit, but not a degree",8044,28.4
Nevada,2016,Unknown or Not Stated,849,28.4
Nevada,2017,8th grade or less,858,31.0
Nevada,2017,9th through 12th grade with no diploma,5177,26.0
Nevada,2017,"Associate degree (AA, AS)",2664,30.2
Nevada,2017,"Bachelor's degree (BA, AB, BS)",4849,31.6
Nevada,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",479,34.1
Nevada,2017,High school graduate or GED completed,11290,26.8
Nevada,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1601,33.0
Nevada,2017,"Some college credit, but not a degree",7799,28.6
Nevada,2017,Unknown or Not Stated,1039,28.4
Nevada,2018,8th grade or less,829,31.4
Nevada,2018,9th through 12th grade with no diploma,4826,26.2
Nevada,2018,"Associate degree (AA, AS)",2598,30.3
Nevada,2018,"Bachelor's degree (BA, AB, BS)",5096,31.8
Nevada,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",525,34.4
Nevada,2018,High school graduate or GED completed,11699,27.0
Nevada,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1709,33.2
Nevada,2018,"Some college credit, but not a degree",7657,28.6
Nevada,2018,Unknown or Not Stated,743,28.9
Nevada,2019,8th grade or less,780,31.4
Nevada,2019,9th through 12th grade with no diploma,4504,26.4
Nevada,2019,"Associate degree (AA, AS)",2661,30.4
Nevada,2019,"Bachelor's degree (BA, AB, BS)",5070,31.8
Nevada,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",529,34.2
Nevada,2019,High school graduate or GED completed,11268,27.0
Nevada,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1720,33.2
Nevada,2019,"Some college credit, but not a degree",7417,28.9
Nevada,2019,Unknown or Not Stated,1123,28.2
Nevada,2020,8th grade or less,609,31.2
Nevada,2020,9th through 12th grade with no diploma,4079,26.7
Nevada,2020,"Associate degree (AA, AS)",2598,30.4
Nevada,2020,"Bachelor's degree (BA, AB, BS)",5110,31.8
Nevada,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",522,34.3
Nevada,2020,High school graduate or GED completed,10951,27.1
Nevada,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1680,33.5
Nevada,2020,"Some college credit, but not a degree",7040,29.0
Nevada,2020,Unknown or Not Stated,1064,28.8
Nevada,2021,8th grade or less,513,31.7
Nevada,2021,9th through 12th grade with no diploma,3822,26.8
Nevada,2021,"Associate degree (AA, AS)",2537,30.8
Nevada,2021,"Bachelor's degree (BA, AB, BS)",5299,31.8
Nevada,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",544,34.3
Nevada,2021,High school graduate or GED completed,11173,27.2
Nevada,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1892,33.3
Nevada,2021,"Some college credit, but not a degree",7109,29.2
Nevada,2021,Unknown or Not Stated,797,28.9
New Hampshire,2016,8th grade or less,86,29.6
New Hampshire,2016,9th through 12th grade with no diploma,656,24.8
New Hampshire,2016,"Associate degree (AA, AS)",1091,30.4
New Hampshire,2016,"Bachelor's degree (BA, AB, BS)",3017,31.5
New Hampshire,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",376,33.7
New Hampshire,2016,High school graduate or GED completed,2615,26.6
New Hampshire,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1800,32.6
New Hampshire,2016,"Some college credit, but not a degree",2553,28.4
New Hampshire,2016,Unknown or Not Stated,73,30.2
New Hampshire,2017,8th grade or less,86,29.2
New Hampshire,2017,9th through 12th grade with no diploma,617,24.5
New Hampshire,2017,"Associate degree (AA, AS)",1158,30.6
New Hampshire,2017,"Bachelor's degree (BA, AB, BS)",3169,31.4
New Hampshire,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",392,34.2
New Hampshire,2017,High school graduate or GED completed,2573,26.6
New Hampshire,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1714,32.8
New Hampshire,2017,"Some college credit, but not a degree",2347,28.4
New Hampshire,2017,Unknown or Not Stated,60,29.9
New Hampshire,2018,8th grade or less,93,28.9
New Hampshire,2018,9th through 12th grade with no diploma,564,24.6
New Hampshire,2018,"Associate degree (AA, AS)",1082,30.7
New Hampshire,2018,"Bachelor's degree (BA, AB, BS)",3126,31.7
New Hampshire,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",399,34.1
New Hampshire,2018,High school graduate or GED completed,2514,26.8
New Hampshire,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1774,32.7
New Hampshire,2018,"Some college credit, but not a degree",2382,28.8
New Hampshire,2018,Unknown or Not Stated,61,30.8
New Hampshire,2019,8th grade or less,65,30.0
New Hampshire,2019,9th through 12th grade with no diploma,548,25.4
New Hampshire,2019,"Associate degree (AA, AS)",1073,30.7
New Hampshire,2019,"Bachelor's degree (BA, AB, BS)",3141,31.6
New Hampshire,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",371,34.4
New Hampshire,2019,High school graduate or GED completed,2423,26.8
New Hampshire,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1876,32.8
New Hampshire,2019,"Some college credit, but not a degree",2265,28.8
New Hampshire,2019,Unknown or Not Stated,77,32.5
New Hampshire,2020,8th grade or less,65,29.4
New Hampshire,2020,9th through 12th grade with no diploma,561,25.4
New Hampshire,2020,"Associate degree (AA, AS)",1029,30.6
New Hampshire,2020,"Bachelor's degree (BA, AB, BS)",3181,31.8
New Hampshire,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",406,34.3
New Hampshire,2020,High school graduate or GED completed,2463,27.0
New Hampshire,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1828,33.0
New Hampshire,2020,"Some college credit, but not a degree",2197,29.2
New Hampshire,2020,Unknown or Not Stated,61,31.2
New Hampshire,2021,8th grade or less,72,29.0
New Hampshire,2021,9th through 12th grade with no diploma,527,25.4
New Hampshire,2021,"Associate degree (AA, AS)",1115,30.9
New Hampshire,2021,"Bachelor's degree (BA, AB, BS)",3559,31.8
New Hampshire,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",463,34.1
New Hampshire,2021,High school graduate or GED completed,2506,27.6
New Hampshire,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2144,33.0
New Hampshire,2021,"Some college credit, but not a degree",2179,29.5
New Hampshire,2021,Unknown or Not Stated,60,30.8
New Jersey,2016,8th grade or less,4470,30.1
New Jersey,2016,9th through 12th grade with no diploma,7088,26.2
New Jersey,2016,"Associate degree (AA, AS)",7000,30.8
New Jersey,2016,"Bachelor's degree (BA, AB, BS)",26605,32.1
New Jersey,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3547,34.2
New Jersey,2016,High school graduate or GED completed,23672,28.0
New Jersey,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",15752,33.0
New Jersey,2016,"Some college credit, but not a degree",13986,29.1
New Jersey,2016,Unknown or Not Stated,527,30.8
New Jersey,2017,8th grade or less,4187,30.2
New Jersey,2017,9th through 12th grade with no diploma,6454,26.6
New Jersey,2017,"Associate degree (AA, AS)",7054,30.8
New Jersey,2017,"Bachelor's degree (BA, AB, BS)",26826,32.2
New Jersey,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3464,34.2
New Jersey,2017,High school graduate or GED completed,23473,28.0
New Jersey,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",15616,33.0
New Jersey,2017,"Some college credit, but not a degree",13495,29.2
New Jersey,2017,Unknown or Not Stated,681,30.8
New Jersey,2018,8th grade or less,4149,30.4
New Jersey,2018,9th through 12th grade with no diploma,6437,26.5
New Jersey,2018,"Associate degree (AA, AS)",6828,31.0
New Jersey,2018,"Bachelor's degree (BA, AB, BS)",26829,32.3
New Jersey,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3569,34.2
New Jersey,2018,High school graduate or GED completed,23898,28.2
New Jersey,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",15901,33.2
New Jersey,2018,"Some college credit, but not a degree",12994,29.4
New Jersey,2018,Unknown or Not Stated,618,30.7
New Jersey,2019,8th grade or less,3853,30.2
New Jersey,2019,9th through 12th grade with no diploma,6080,26.6
New Jersey,2019,"Associate degree (AA, AS)",6909,31.1
New Jersey,2019,"Bachelor's degree (BA, AB, BS)",26943,32.3
New Jersey,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3691,34.3
New Jersey,2019,High school graduate or GED completed,23164,28.2
New Jersey,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",15757,33.2
New Jersey,2019,"Some college credit, but not a degree",12505,29.5
New Jersey,2019,Unknown or Not Stated,683,30.6
New Jersey,2020,8th grade or less,3827,30.4
New Jersey,2020,9th through 12th grade with no diploma,5474,26.7
New Jersey,2020,"Associate degree (AA, AS)",6800,31.1
New Jersey,2020,"Bachelor's degree (BA, AB, BS)",26645,32.5
New Jersey,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3623,34.3
New Jersey,2020,High school graduate or GED completed,23010,28.4
New Jersey,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",15924,33.3
New Jersey,2020,"Some college credit, but not a degree",11731,29.6
New Jersey,2020,Unknown or Not Stated,920,30.8
New Jersey,2021,8th grade or less,3566,30.0
New Jersey,2021,9th through 12th grade with no diploma,5150,27.0
New Jersey,2021,"Associate degree (AA, AS)",6910,31.2
New Jersey,2021,"Bachelor's degree (BA, AB, BS)",28276,32.6
New Jersey,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4080,34.5
New Jersey,2021,High school graduate or GED completed,23384,28.4
New Jersey,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",16990,33.4
New Jersey,2021,"Some college credit, but not a degree",11997,29.9
New Jersey,2021,Unknown or Not Stated,1144,31.2
New Mexico,2016,8th grade or less,668,28.4
New Mexico,2016,9th through 12th grade with no diploma,4214,24.3
New Mexico,2016,"Associate degree (AA, AS)",2194,29.0
New Mexico,2016,"Bachelor's degree (BA, AB, BS)",3245,30.8
New Mexico,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",511,33.6
New Mexico,2016,High school graduate or GED completed,5915,26.0
New Mexico,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1186,32.6
New Mexico,2016,"Some college credit, but not a degree",6659,26.8
New Mexico,2016,Unknown or Not Stated,100,28.4
New Mexico,2017,8th grade or less,648,28.1
New Mexico,2017,9th through 12th grade with no diploma,3874,24.5
New Mexico,2017,"Associate degree (AA, AS)",2164,29.3
New Mexico,2017,"Bachelor's degree (BA, AB, BS)",3105,30.8
New Mexico,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",513,33.8
New Mexico,2017,High school graduate or GED completed,5812,26.0
